Restaurant,Menu Name,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Gondolier,Lunch,11:00AM-2:00PM,11:00AM-2:00PM,11:00AM-2:00PM,11:00AM-2:00PM,11:00AM-2:00PM,11:00AM-2:00PM,11:00AM-2:00PM
Gondolier,Dinner,2:00PM-10:00PM,2:00PM-10:00PM,2:00PM-10:00PM,2:00PM-10:00PM,2:00PM-11:00PM,2:00PM-11:00PM,2:00PM-10:00PM
The Little Dooey,All Day,10:30AM-9:00PM,10:30AM-9:00PM,10:30AM-9:00PM,10:30AM-9:00PM,10:30AM-9:00PM,10:30AM-9:00PM,10:30AM-2:00PM
Newk's Eatery,All Day,11:00AM-9:00PM,11:00AM-9:00PM,11:00AM-9:00PM,11:00AM-9:00PM,11:00AM-10:00PM,11:00AM-10:00PM,11:00AM-10:00PM
Rosey Baby,All Day,4:00PM-10:00PM,4:00PM-10:00PM,4:00PM-10:00PM,4:00PM-10:00PM,4:00PM-10:00PM,4:00PM-10:00PM,Not Available
Bin 612,All Day,11:00AM-12:00AM,11:00AM-12:00AM,11:00AM-12:00AM,11:00AM-12:00AM,11:00AM-1:00AM,11:00AM-1:00AM,11:00AM-10:00PM
Mugshots,All Day,11:00AM-10:00PM,11:00AM-10:00PM,11:00AM-10:00PM,11:00AM-10:00PM,11:00AM-11:00PM,11:00AM-11:00PM,11:00AM-9:00PM
City Bagel Cafe,Italian Night,Not Available,Not Available,5:00PM-9:00PM,5:00PM-9:00PM,5:00PM-9:00PM,5:00PM-9:00PM,Not Available
City Bagel Cafe,Breakfast & Lunch,6:30AM-2:00PM,6:30AM-2:00PM,6:30AM-2:00PM,6:30AM-2:00PM,6:30AM-2:00PM,6:30AM-2:00PM,6:30AM-2:00PM
Restaurant Tyler,Dinner,Not Available,2:00PM-9:00PM,2:00PM-9:00PM,2:00PM-9:00PM,2:00PM-10:00PM,5:00PM-10:00PM,Not Available
Restaurant Tyler,Lunch,11:00AM-2:00PM,11:00AM-2:00PM,11:00AM-2:00PM,11:00AM-2:00PM,11:00AM-2:00PM,Not Available,Not Available
Restaurant Tyler,Brunch,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10:00AM-2:00PM